orbit,bx,phi,eta,pt,charge
3297264,3459,2.00713,-0.80475,3.5,-1
3299548,3525,-0.338157,-0.511125,6,1
3304624,3541,1.309,-0.358875,4,-1
3304624,3542,1.23264,-0.511125,5,-1
3304624,3543,-0.698132,-0.424125,4.5,1
3306931,3472,1.13446,-0.511125,4,-1
3309187,3454,1.76715,-0.685125,3.5,1
3310374,3468,3.13068,-0.358875,5.5,-1
3310374,3469,3.11978,-0.511125,50.5,-1
3311032,3541,1.22173,0.511125,4.5,-1
3317438,3500,2.08349,0,8,-1
3324745,3516,-1.60352,-0.80475,15.5,-1
3329116,3547,1.65806,-0.80475,3.5,1
3330023,3481,1.66897,-0.80475,25.5,-1
3331305,3516,1.81078,0,6.5,1
3331305,3518,-0.83994,0.685125,6.5,-1
3333366,3529,0.894481,0,3.5,-1
3333366,3530,0.796306,0,4,-1
3333366,3531,-1.35263,0,3.5,1
3337136,3534,1.4399,-0.511125,3.5,1
3337136,3535,-2.09439,0,2.5,-1
3337333,3460,-2.18166,0.358875,4.5,1
3339837,3530,2.06167,-0.80475,3.5,1
3339873,3473,-2.47619,0.511125,3,1
3341705,3546,1.74533,0.511125,9.5,1
3341705,3547,-2.21439,0.80475,15,-1
3342071,3487,1.65806,-0.358875,6,1
3342368,3498,1.93077,-0.685125,5.5,-1
3345194,3505,1.64715,-0.76125,3.5,-1
3346931,3459,-2.35619,0.641625,4.5,1
3348424,3495,0.51269,0.358875,3.5,-1
3349477,3519,-2.50891,0,3.5,-1
3349574,3524,1.59261,-0.424125,6.5,-1
3350729,3524,1.27627,-0.685125,3.5,-1
3352154,3519,1.27627,-0.358875,3.5,-1
3354511,3530,1.94168,0,25.5,1
3354511,3532,-1.9744,0.511125,31.5,-1
3354969,3445,1.39626,-0.80475,3.5,-1
3356635,3448,1.9744,-0.685125,3.5,1
3356635,3448,-2.30165,-0.511125,3,-1
3356635,3450,-2.32347,-0.511125,3,-1
3357845,3454,2.61799,-0.80475,3.5,1
3358041,3528,2.12712,-0.511125,6,1
3359717,3450,1.69079,0.685125,3.5,1
3360383,3488,2.0944,0.80475,3.5,1
3367438,3520,0.894481,0.685125,7.5,1
3371282,3452,1.51625,-0.358875,5,-1
3371282,3453,1.48353,-0.511125,5.5,-1
3375568,3539,0.981748,-0.80475,3.5,-1
3375568,3540,-2.67254,-0.511125,3,1
3376799,3486,1.93077,0.80475,3.5,-1
3379418,3447,1.60352,-0.424125,19,1
3381586,3505,0.872665,-0.619875,4,1
3382463,3524,-1.7017,0.511125,139.5,-1
3382477,3550,1.9635,-0.511125,3,1
3384695,3545,2.11621,-0.511125,3.5,1
3385542,3549,0.665407,0,5.5,-1
3387126,3487,1.94168,0.511125,3,1
3393705,3504,1.50535,-0.467625,11,1
3393705,3505,-0.359974,0,4.5,1
3393705,3506,-0.381791,0,5,-1
3396169,3490,1.07992,-0.80475,3.5,-1
3396583,3449,1.11265,0.511125,3,-1
3403753,3533,1.64715,-0.358875,3.5,1
3403753,3534,-3.01069,0,3.5,-1
3404281,3490,1.7126,-0.685125,4,1
